local_id,Localidad,PopCDR,Pop2020,Area
1,Usaquén,369936,506753,65.31
2,Chapinero,152168,141762,38.15
3,Santa Fe,93928,98128,45.17
4,San Cristóbal,257646,358159,49.09
5,Usme,230318,342277,215.06
6,Tunjuelito,124375,171824,9.91
7,Bosa,458427,598833,23.93
8,Kennedy,730237,947743,38.59
9,Fontibón,272242,353696,33.28
10,Engativá,617260,762844,35.88
11,Suba,865749,1068085,100.56
12,Barrios Unidos,169295,130187,11.9
13,Teusaquillo,117041,131929,14.19
14,Los Mártires,73041,69966,6.51
15,Antonio Nariño,76972,75750,4.88
16,Puente Aranda,158021,237003,17.31
17,La Candelaria,19142,16681,2.06
18,Rafael Uribe Uribe,265916,339930,13.83
19,Ciudad Bolívar,498044,556133,130
