,o_loc,d_loc,hbw,hbo,nhb,am,md,pm,rd
0,1,1,247173.641026,279240.25641,608254.384616,601985.0,649950.153846,499500.794872,798224.230769
1,1,2,36749.4358974,59499.5384615,20128.6923077,21829.1794872,35862.3846154,12333.8974359,9536.71794872
2,1,3,4919.8974359,7721.64102564,1944.0,2376.61538462,4590.38461539,2490.30769231,1755.8974359
3,1,4,17711.6923077,25342.3589744,6877.38461539,9740.23076923,14772.5128205,6530.92307692,5742.76923077
4,1,5,13177.1282051,23712.974359,7785.46153846,8304.48717949,14417.6923077,5752.58974359,3741.12820513
5,1,6,3800.69230769,6767.66666667,2529.56410256,2438.92307692,4312.1025641,2198.64102564,1750.23076923
6,1,7,18947.2307692,35180.1794872,10269.2051282,12181.2051282,21655.9230769,7736.25641026,5929.43589744
7,1,8,15692.6410256,25395.974359,8702.53846154,8380.12820513,15996.5128205,9768.41025641,6263.20512821
8,1,9,7037.48717948,11703.6923077,1584.35897436,4108.12820513,6559.43589743,3476.84615385,2631.79487179
9,1,10,15783.7435897,24770.5897436,7350.05128205,8300.15384615,15958.6666667,11332.5384615,6672.41025641
10,1,11,45689.1538462,94819.051282,32375.4358974,24154.6923077,65138.0,42388.2051282,32611.6410256
11,1,12,31926.0769231,45109.6410256,11257.5897436,17831.1794872,24679.1025641,9305.33333334,6941.17948718
12,1,13,5427.82051282,8896.1025641,2322.05128205,3295.38461538,5408.71794872,2373.1025641,1330.79487179
13,1,14,9737.71794872,13839.4615385,1580.87179487,5133.82051282,8693.46153846,4271.58974359,2695.94871795
14,1,15,2420.61538462,3466.2051282,1166.28205128,1196.02564103,2477.82051282,2060.35897436,1023.02564103
15,1,16,9375.23076923,12159.7692308,2665.64102564,4716.28205128,6780.61538462,4082.53846154,3620.76923077
16,1,17,389.666666667,1101.7948718,184.358974359,304.307692307,518.743589744,465.384615385,294.974358975
17,1,18,16109.6410256,25700.1794872,8374.69230769,8899.17948718,15155.7692308,9210.56410256,6791.12820513
18,1,19,29829.7692308,35777.1282051,6449.71794872,11233.6666667,24135.6666667,13796.8205128,12311.0512821
19,2,1,40189.7435898,60553.025641,19941.8461538,7295.51282051,49828.5128205,58899.1794872,33380.4615385
20,2,2,136341.179487,86249.6153846,153990.666667,75430.7948718,133584.435897,74049.1794872,86164.6666667
21,2,3,3073.02564103,3933.7948718,3334.38461538,1106.79487179,3647.0,3614.46153846,1814.35897436
22,2,4,7979.82051282,15103.2051282,11490.0,2468.48717949,12251.2307692,9305.0,5036.30769231
23,2,5,6542.38461538,14651.9487179,15069.5897436,3101.74358974,13587.8205128,9570.69230769,4782.17948718
24,2,6,2070.69230769,2986.35897436,2148.64102564,479.974358974,2591.71794872,2561.15384615,1435.05128205
25,2,7,6659.28205128,11490.8717949,11465.3076923,1985.17948718,10678.1538462,8866.8974359,4164.64102564
26,2,8,7283.48717949,9965.76923077,7107.66666666,1278.25641026,9199.61538462,10589.3333333,4927.97435897
27,2,9,2618.12820513,3820.05128205,3698.71794872,915.435897436,3620.20512821,3222.23076923,1769.20512821
28,2,10,10205.1538462,16701.7435897,15585.0769231,3282.25641026,17305.1794872,13403.4615385,6944.23076923
29,2,11,15449.7948718,30485.6666667,19486.6410256,3997.25641026,26291.3589744,26374.7692308,13654.5641026
30,2,12,11417.948718,27438.7692308,24382.3333333,6292.48717949,22857.5384615,13954.1025641,6820.56410256
31,2,13,4336.0,7167.84615385,6956.05128205,1725.05128205,7412.92307693,4875.07692308,2717.56410256
32,2,14,1479.74358974,1676.38461538,2084.12820513,314.564102564,2222.38461538,1883.12820513,990.256410256
33,2,15,1746.23076923,2066.51282051,972.333333334,168.256410256,1960.46153846,2520.28205128,1402.76923077
34,2,16,4034.56410256,6008.38461538,5000.84615385,1208.58974359,5436.8974359,6004.28205128,2848.15384615
35,2,17,302.641025641,242.512820513,178.358974359,50.0256410256,287.717948718,308.384615385,161.743589744
36,2,18,7209.74358974,10867.1282051,7313.51282051,1674.69230769,9230.12820513,9182.17948718,4708.07692308
37,2,19,7836.51282051,13944.1282051,10171.1025641,2929.30769231,11449.3333333,9038.20512821,5775.64102564
38,3,1,5602.69230769,8240.38461538,1749.2051282,1245.82051282,6670.38461539,7498.0,4705.79487179
39,3,2,3095.84615385,4171.46153846,2879.46153846,1488.94871795,2914.43589744,1707.33333333,1372.92307692
40,3,3,19987.5897436,16910.0,41801.8205128,30072.051282,34581.1538462,23178.9230769,40606.7179487
41,3,4,4406.02564102,7284.12820513,4959.3076923,1992.41025641,5493.61538461,3672.69230769,2923.74358974
42,3,5,730.205128205,1212.38461538,775.717948718,333.820512821,774.230769231,463.102564103,504.717948718
