local_id,Localidad,PopCDR,Pop2020,Area
1,Usaquén,369936,769936.7089,65.31
2,Chapinero,152168,232944.6787,38.15
3,Santa Fe,93928,122840.5165,45.17
4,San Cristóbal,257646,643220.7311,49.09
5,Usme,230318,536994.6606,215.06
6,Tunjuelito,124375,268686.5022,9.91
7,Bosa,458427,1402672.256,23.93
8,Kennedy,730237,3136487.406,38.59
9,Fontibón,272242,822340.8311,33.28
10,Engativá,617260,1387887.036,35.88
11,Suba,865749,2114909.091,100.56
12,Barrios Unidos,169295,437960.688,11.9
13,Teusaquillo,117041,245468.0535,14.19
14,Los Mártires,73041,186486.4865,6.51
15,Antonio Nariño,76972,194847.3282,4.88
16,Puente Aranda,158021,367512.8917,17.31
17,La Candelaria,19142,35889.81598,2.06
18,Rafael Uribe Uribe,265916,545643.5849,13.83
19,Ciudad Bolívar,498044,1214820.553,130
